drzava,leto,ime,N1,N2,N3,N4,N5,N6,empty,skupaj,absolutno_mesto,relativno_mesto,nagrada,spol
ARG,2011,Nicolás Cogorno,7,0,0,3,0,0,,10,356,36.83,Honourable mention,moški
ARG,2011,Carolina Lang,5,0,0,4,1,0,,10,356,36.83,,ženska
ARG,2011,Gastón Salgado,7,0,0,1,0,0,,8,402,28.65,Honourable mention,moški
ARG,2011,Bruno Staffa,7,0,0,1,1,0,,9,378,32.92,Honourable mention,moški
ARG,2011,Ariel Zylber,7,7,1,7,5,1,,28,39,93.24,Gold medal,moški
ARG,2010,Franco Assenza,6,0,0,2,0,0,,8,401,23.22,,moški
ARG,2010,Carolina Gonzalez,6,0,0,7,0,0,,13,313,40.12,Honourable mention,ženska
ARG,2010,Miguel Maurizio,7,7,0,7,3,0,,24,60,88.68,Silver medal,moški
ARG,2010,Sebastián Prillo,6,7,0,7,0,0,,20,151,71.21,Bronze medal,moški
ARG,2010,Alfredo Umfurer,4,0,0,7,0,0,,11,351,32.82,Honourable mention,moški
ARG,2010,Ariel Zylber,7,1,1,7,0,0,,16,199,62.0,Bronze medal,moški
ARG,2009,Federico Cogorno,6,1,1,0,5,0,,13,283,50.0,,moški
ARG,2009,Miguel Maurizio,7,2,0,1,2,0,,12,296,47.7,Honourable mention,moški
ARG,2009,Iván Sadofschi,7,7,1,2,0,0,,17,220,61.17,Bronze medal,moški
ARG,2009,Germán Stefanich,7,7,7,3,7,0,,31,50,91.31,Silver medal,moški
ARG,2009,Alfredo Umfurer,2,3,0,0,6,0,,11,314,44.5,,moški
ARG,2009,Ariel Zylber,7,1,0,1,0,0,,9,354,37.41,Honourable mention,moški
ARG,2008,Juan Andrés Dodyk,7,1,0,7,1,0,,16,212,60.49,Bronze medal,moški
